feature,coefficient
purchase_gap_std,0.09304732439228203
favorite_category_Bags & Luggage,-0.08958338185226748
favorite_category_Pets,0.07680854402960176
dominant_category_share,-0.06828966700204517
min_purchase_gap,0.06712185714011923
purchase_gap_cv,-0.061214193549768724
orders_last_30d,0.051627134545594366
favorite_category_Footwear,0.051311460077592914
unique_categories,0.05115387238628407
average_interpurchase_time,0.04679673950575199
active_purchase_span_days,-0.045131821329366134
unique_products,0.0433022567354192
favorite_category_Music & Instruments,-0.043006123040194175
favorite_category_Automotive,-0.039346830761059916
unique_purchase_days,-0.03848896068559864
frequency,-0.03848896068559864
basket_value_std,-0.03308094818654727
tenure,-0.03059781214347359
days_since_first_purchase,-0.03059781214347359
frequency_trend_30d_vs_prior,-0.02924854847315527
orders_first_30d,0.028703290774996573
favorite_category_Sports,-0.027842547947788895
monetary_value,0.02604892205879892
max_purchase_gap,-0.025791002801556127
favorite_category_Office Supplies,0.024964719866471353
favorite_category_Gaming,0.024162435833193042
favorite_category_Books,0.02405900635521716
favorite_category_Health,0.02390754204274248
favorite_category_Home,0.02209072874205389
repeat_category_rate,0.021693409985128236
total_orders,0.021311601674922846
days_since_last_purchase,0.020835498207277137
recency,0.020835498207276607
favorite_category_Baby,-0.020037675011341235
orders_last_14d,-0.01943205997625678
avg_interpurchase_missing,0.01737920193159615
monetary_trend_30d_vs_prior,-0.014635004729893313
favorite_category_Beauty,0.013964575720250304
favorite_category_Electronics,-0.011330640879512889
favorite_category_Toys,-0.011234880741331403
basket_value_cv,0.010916231212968058
log_monetary_value,-0.006260514753409029
orders_last_7d,-0.0061577043043696475
favorite_category_Groceries,0.004779489560412965
favorite_category_Stationery,0.0031507025257772824
orders_last_60d,0.0028893284854267422
purchase_acceleration,0.002827235756809246
monetary_last_30d,0.002027976455831209
favorite_category_Clothing,-0.001555615389726056
average_order_value,0.00101333434835976
avg_basket_value,0.00101333434835976
monetary_first_30d,-0.0008061104957788059
favorite_category_Jewellery,0.000649432957735645
orders_per_active_day,-4.869381953663994e-05
