feature,gain
favorite_category_Home,8.903386116027832
favorite_category_Clothing,6.56626033782959
log_monetary_value,5.940636157989502
unique_purchase_days,5.851103782653809
orders_per_active_day,5.850586414337158
favorite_category_Electronics,5.818192005157471
favorite_category_Stationery,5.747583389282227
avg_basket_value,5.73780632019043
unique_categories,5.71767520904541
favorite_category_Health,5.665467739105225
days_since_last_purchase,5.582626819610596
monetary_first_30d,5.574494361877441
purchase_gap_cv,5.418745994567871
average_interpurchase_time,5.4122772216796875
monetary_trend_30d_vs_prior,5.383971214294434
favorite_category_Sports,5.368049621582031
monetary_last_30d,5.276615142822266
min_purchase_gap,5.2404866218566895
frequency_trend_30d_vs_prior,5.209386825561523
recency,5.200992584228516
basket_value_cv,5.167829990386963
dominant_category_share,5.165238380432129
total_orders,5.153380870819092
orders_last_30d,5.138054847717285
purchase_acceleration,5.12730073928833
average_order_value,5.103006839752197
days_since_first_purchase,5.088330268859863
max_purchase_gap,5.0827531814575195
basket_value_std,5.064838886260986
orders_first_30d,4.996744632720947
purchase_gap_std,4.9465012550354
monetary_value,4.941425323486328
favorite_category_Bags & Luggage,4.894844055175781
tenure,4.868072032928467
active_purchase_span_days,4.818353652954102
favorite_category_Automotive,4.754580497741699
favorite_category_Footwear,4.683451175689697
frequency,4.5419230461120605
unique_products,4.532991886138916
favorite_category_Office Supplies,4.474216461181641
favorite_category_Books,4.377406597137451
orders_last_14d,4.277365684509277
orders_last_60d,4.216175079345703
favorite_category_Groceries,4.17655086517334
repeat_category_rate,4.094403266906738
favorite_category_Beauty,4.088546276092529
favorite_category_Jewellery,4.050832748413086
favorite_category_Baby,4.034779071807861
favorite_category_Music & Instruments,3.8867666721343994
orders_last_7d,3.298781394958496
favorite_category_Gaming,3.102466344833374
favorite_category_Pets,2.717099189758301
favorite_category_Toys,2.713017463684082
